Velocity [m/s];Delta_P1 [Pa];Gs [kg/m2s]
9.055686;155.448968;117
9.055686;155.448968;117
9.055686;155.448968;117
9.046286;155.189774;117
9.035799;154.473912;117
9.022772;152.782737;117
9.009679;150.92206;117
9.009281;150.073873;117
9.009281;149.852011;117
9.00437;149.60069;117
9.00437;148.919132;117
8.996413;148.919132;117
8.991422;148.076522;117
8.986682;147.630953;117
8.986682;148.076522;117
8.986682;147.630953;117
8.992171;147.478519;117
8.992171;147.324524;117
9.001846;147.195329;117
9.009437;147.195329;117
9.018503;147.324524;117
9.028461;147.324524;117
9.028461;148.156376;117
9.028461;149.381743;117
9.028461;150.279684;117
9.028461;150.964927;117
9.021474;151.488982;117
8.987138;151.840508;117
8.987138;152.148906;117
8.987138;152.635454;117
8.987138;152.942694;117
8.987138;152.942694;117
9.04095;152.942694;117
9.113569;152.942694;117
9.113569;152.942694;117
9.113569;152.746558;117
9.113569;152.746558;117
9.113569;151.093857;117
9.104162;149.842432;117
9.073698;149.663178;117
9.022371;148.97613;117
8.993842;148.249395;117
8.977004;147.904143;117
8.94415;147.904143;117
8.915547;147.996812;117
8.902329;148.042712;117
8.891593;148.042712;117
8.877447;147.502515;117
8.864674;147.320895;117
8.8544;147.46994;117
8.849292;147.861092;117
8.838815;148.542988;117
8.835115;148.848125;117
8.835115;149.102524;117
8.835115;149.283027;117
8.835115;149.283027;117
8.835115;149.72086;117
8.958042;150.227424;117
9.076079;150.725851;117
9.0795;151.301953;117
9.088742;151.301953;117
9.091693;151.301953;117
9.091693;150.725851;117
9.091693;150.725851;117
9.091693;150.516017;117
9.091693;149.319343;117
9.085593;148.248839;117
9.063175;147.292815;117
9.039326;147.032827;117
9.021342;146.554684;117
8.986493;146.372748;117
8.958697;146.311539;117
8.94593;146.073982;117
